Shop Name,Contact,Address,State,City,GST
Ak  Salon (Jagdalpur),919683651643,"SHOP 17A/2 FIRST FLOOR, Main Market, above Vision Care, near Apollo Pharmacy, Shramik Kunj, Sector 110, Noida, Uttar Pradesh 201304",Chhattisgarh,Jagdalpur,
Kviss Salon (Ludhiana),919680418678,Dhandra road dugri,Punjab,Ludhiana,
Avon (Nagpur),919679986414,College vadi,Maharashtra,Nagpur,
Art Cave Salon (Zerakpur),919678423220,"Nazirpatty, silchar",Punjab,Zerakpur,
Ajvindar Salon (Lucknow),919678237314,Garh road,Uttar Pradesh,Lucknow,
A 1 Beauty Parlour And Academy (Nagpur),919673823497,100ft road,Maharashtra,Nagpur,
Insha Makeover (Shiliguri),919672544911,Nirala Nagar,West Bengal,Shiliguri,
Hairkart Unisex Salon (Kapurthala),919669182525,Gulmohar colony bhopal Madhya Pradesh,Punjab,Kapurthala,
Ajju Hair & Beauty (Nagpur),919667825286,"Ground Floor, B 1269, opp. metro pillar no. 155, Block B, Ashok Nagar Extension, New Ashok Nagar, New Delhi, Delhi, 110096",Maharashtra,Nagpur,
Family Unisex Salon (Kanhangad),919667126766,Main road rajouri garden  Shop no 4,Kerala,Kanhangad,
1 Mm Unisex Salon (Noida),919667050081,"Shop No- 31, First Floor, Commercial Tower, Cherry County, GH-05B, Techzone 4, Amrapali Dream Valley, Greater Noida, Uttar Pradesh 201306",Uttar Pradesh,Noida,
"Priya Beauty Parlour, Firozpur (Coimbatore)",919667050075,"Mane bazar, Nihal Singh wala",Tamil Nadu,Coimbatore,
Lavish Beauty Parlour (Chandigarh),919665524606,JE 7 khirki extn,UT,Chandigarh,
Heaven Unisex (Varanasi),919663561254,Kotwali road,Uttar Pradesh,Varanasi,
Ashu Beauty Parlour (Raipur),919663488756,Barra baypass,Chhattisgarh,Raipur,
Dr Makeover (Mysore),919662075558,Orion Mall muhaddipur gorakhpur,Karnataka,Mysore,
Face Value Salon (Bangalore),919654845438,"LG-22, Shoprix Mall, Block C, Sector 61, Noida, Uttar Pradesh 201301",Karnataka,Bangalore,
Dimond Unisex Salon (Agra),919654547879,"Hospital road, Birbhum",Uttar Pradesh,Agra,
Hashtag Family Salons (Jaunpur),919654343101,Gola road main market khalilabad,Uttar Pradesh,Jaunpur,
Hobibs (Noida),919653931131,Malhore,Uttar Pradesh,Noida,
Golden Scissor (Ludhiana),919652550693,Central Town jalandhar,Punjab,Ludhiana,
Hair Mystery (Nihal Singhwala),919650777202,kashiram,Punjab,Nihal Singhwala,
Gudiya Parlour (Noida),919650760818,Kathua,Uttar Pradesh,Noida,
Nisha Makeover (MeerUT),919650605104,"Jhilmil,  Delhi (East)",Uttar Pradesh,MeerUT,
(Vogue Salon Zira) (Moga),919650512335,Vip road,Punjab,Moga,
Make Over Leena (Ambikapur),919649494911,"Anurag Chowk, Dehradun (Uttarakhand)",Chhattisgarh,Ambikapur,
Mamata Makeover (Kolkata),919646963735,"Sector.18, Noida (Uttar Pradesh)",West Bengal,Kolkata,
Roy'S Ayurveda Wellness And Clinic (Moradabad),919646902117,Tp nagar thana,Uttar Pradesh,Moradabad,
Creative Hair Villa (Chandigarh),919646807402,Sec 41D chandigarh,Punjab,Chandigarh,
A1 Beauty Parlour (Nagpur),919646776531,100 ft road,Maharashtra,Nagpur,
Bachelor Unisex Salon (Chandigarh),919646102032,Bhagwan ganj,Punjab,Chandigarh,
Crystal Beauty Parlour (Bakhtawarpur),919643798788,Suraj Mal vihar East Delhi,Delhi,Bakhtawarpur,
Gauri By (Nagpur),919637221384,Harthala,Maharashtra,Nagpur,
Cut Hut 4 Unisex Salon (Dhanbad),919636002520,Jahaj chonk,Jharkhand,Dhanbad,
MUttarakhandesh Unisex Salon (Lucknow),919634512519,Sahibabad,Uttar Pradesh,Lucknow,
About U Salon (Nagpur),919632395468,Siliguri,Maharashtra,Nagpur,
Alice Saloon (MeerUT),919630333273,Near bus stand Moga,Uttar Pradesh,MeerUT,
Elegant Beauty Salon (Ferozepore),919629131458,Jajh nagar near damuhi mandir,Punjab,Ferozepore,
Kamil Hair & Beauty Salon (Lucknow),919628789148,"Doll fin chock, Faridkot",Uttar Pradesh,Lucknow,
Cherry Red (Silchar),919625313396,Virar West,Assam,Silchar,
Beauty Art (Lucknow),919625300800,Durg,Uttar Pradesh,Lucknow,
Nishi Makeover (Jodhpur),919624276004,"TaMadhya Pradeshanoor, Trivandrum",Rajasthan,Jodhpur,
Shivani Beauty Parlour (Madurai),919623621566,Colour.mall.Raipur,Tamil Nadu,Madurai,
Meghna  Luxury Salon (Kanpur),919623394442,Civil lines Moradabad,Uttar Pradesh,Kanpur,
Narender'S Unisex Salon (AchaMadhya Pradeshet),919622394158,Kanker khera MeerUT,Andhra Pradesh,AchaMadhya Pradeshet,
Honey & Herb Unisex Salon (Noida),919622240929,Lal kurti telibagh,Uttar Pradesh,Noida,
Lookks  The Style Garrage (Ajnala),919622007473,Lohghar chonk,Punjab,Ajnala,
House Of Beauty (Achhnera),919621675666,Avantika Thana  Ghaziabad,Uttar Pradesh,Achhnera,
House Of Beauty Care Salon (Varanasi),919621674666,Sec 15D chandigarh,Uttar Pradesh,Varanasi,
Glamzo  Beauty Zone (Moga),919620781230,Modipuram,Punjab,Moga,
Elegant Touch Beauty Parlour (Kolkata),919620545461,Sec 20 chandigarh,West Bengal,Kolkata,
Black Stroke Salon & Acedemy (Raipur),919620074408,Main market gola road khalilabad,Chhattisgarh,Raipur,
Hi Hair Care Unisex Salon (Mumbai),919614901545,MTP Road,Maharashtra,Mumbai,
Meenakshi Dutt Unisex Salon (Kanpur),919613141230,Vashi,Uttar Pradesh,Kanpur,
A S Tread Line (Raipur),919611976491,Nandanvan,Chhattisgarh,Raipur,
Kp Salon Jalalabad (Chandigarh),919611443358,"Near bus stand,zira",Punjab,Chandigarh,
Nikki Sparkle Saloon (Ludhiana),919611149559,Civilian,Punjab,Ludhiana,
Finesse Beauty And Spa (Ranchi),919609917809,"4 Adan Bagh Extension, Dayal Bagh,Agra",Jharkhand,Ranchi,
Make Uttar Pradesh Zone (Kanpur),919609878609,"Tagore Villa, Deharadun (Uttarakhand)",Uttar Pradesh,Kanpur,
Blush And Rush (Gurdaspur),919606584799,Pandav nagar road near sea news,Punjab,Gurdaspur,
Komal Bp (Diglipur),919606049821,Swarnabhoomi saddu,Andaman and Nicobar Islands,Diglipur,
Blush (Ludhiana),919600730355,Modinagar,Punjab,Ludhiana,
Meebow Family Salon (Kanpur),919600521955,Mahalaskmi layoUT,Uttar Pradesh,Kanpur,
Jd Salon (Mohali),919598726534,Bijnor road,Punjab,Mohali,
Looks Studio (Zira),919596940131,"Lotus Volevourd, Sec 100, Noida",Punjab,Zira,
Headlines Salon (Jaunpur),919595869101,Sec 4,Uttar Pradesh,Jaunpur,
Hair Matress Salon (Chandigarh),919595501313,"A-66, Golf Marg, Block A, Sector 51",UT,Chandigarh,
Neel David Saloon (Jodhpur),919595075177,"Jamner, jalgaon",Rajasthan,Jodhpur,
Neel David Academy (Bhilwara),919595075117,"MeerUT, abu lane , jai road",Rajasthan,Bhilwara,
Neel And David Salon (Jodhpur),919595072177,"Sir. MUttarakhandtsar Sahib, Punjab.",Rajasthan,Jodhpur,
Miraco  Unisex Salon (Rajkot),919594933341,Moradabad,Gujrat,Rajkot,
Curl Me Crazy (Kannapuram),919594242382,Hingne,Kerala,Kannapuram,
Anna'S Women'S Beauty Salon (Chandigarh),919593674833,Mission coMadhya Pradeshund,Punjab,Chandigarh,
Diva Mekover (Baga purana),919592909703,Sec 9D chandigarh,Punjab,Baga purana,
Keshav Kala Unisex (ERANAKULAM),919592738687,"Near HP Petrol puMadhya Pradesh, Dimna Road, Mango",Kerala,ERANAKULAM,
Mirabilia Makeover (Bakhtawarpur),919592568929,"Rajpur Road, Dehradun (Uttarakhand)",Delhi,Bakhtawarpur,
Hair Connect (Jagdalpur),919592453060,"Shop no. -16, Ajnara Daffodil, opp. Felix Hospital, Paras Tierea, Sector 137, Noida, Uttar Pradesh 201301",Chhattisgarh,Jagdalpur,
Sky Lark (Payyannur),919592000351,"Shop No- 31, First Floor, Commercial Tower, Cherry County, Techzone 4, Amrapali Dream Valley, Greater Noida, Uttar Pradesh 201306",Kerala,Payyannur,
Amantran Luxury (Rajkot),919591990575,Tatibandh,Gujrat,Rajkot,
B Lounge Salon (Adra),919591590066,"8, Ho Chi Minh Sarani, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071",West Bengal,Adra,
"L Vis Salon, Firozpur (Zirakpur)",919589410397,Pizzeria Markit,Punjab,Zirakpur,
Haney Beauty Salon (Moradabad),919588267498,Harun Nagla bypass,Uttar Pradesh,Moradabad,
Bhagabati Stores (Kanhangad),919587334733,"Green Park, SoUTh Delhi",Kerala,Kanhangad,
Colours Salon (Dehra Dun),919587251130,Naveen Shahdara,Uttarakhand,Dehra Dun,
Magnifique Ladies Salon (Amritsar),919586616590,Jalgaon,Punjab,Amritsar,
Firdosh Beauty Zone (ERANAKULAM),919583967399,Goindwal road,Kerala,ERANAKULAM,
Blooming Unisex Salon (Gorakhpur),919582025859,Talkies coMadhya Pradeshlex 1st floor civil lines roorkee,Uttar Pradesh,Gorakhpur,
Makeuttar Pradesh Cafe (Jodhpur),919580005323,"Lane No. Jakhan, Doon Vihar, Dehradun (Uttarakhand)",Rajasthan,Jodhpur,
Toni & Guy (FARIDKOT),919579586950,"Logix Blossom, C 17 & S 25, near Bittu Tikki Wala, Sector 143, Noida, Uttar Pradesh 201304",Punjab,FARIDKOT,
Hair Baag Salon (Coimbatore),919575076641,Shayamnagar,Tamil Nadu,Coimbatore,
New Glam Salon Jalalabad (Lucknow),919569335604,Aluva,Uttar Pradesh,Lucknow,
Meenakshi Dutt Makeover (Kanpur),919569314493,"Jal Road, Sudhowala, Deharadun (Uttarakhand)",Uttar Pradesh,Kanpur,
Pratis Beauty Salon (Moradabad),919568951895,Manewada,Uttar Pradesh,Moradabad,
Luxe Unisex Salon (Raipur),919568700712,Medical road bashartpur gorakhpur,Chhattisgarh,Raipur,
Dhanshree Makeover (Nagpur),919567677641,Sudhowala dehradun,Maharashtra,Nagpur,
Makeuttar Pradesh Arena (Raipur),919565522651,Road roadways,Chhattisgarh,Raipur,
Dilniwaz Salon (Agra),919565170170,Shayam Nagar,Uttar Pradesh,Agra,
Dream Looks (Chandigarh),919563000829,B 35 lajpat nagar,UT,Chandigarh,
Smile Beauty Parlour (Nagpur),919562202828,Pahadiya,Maharashtra,Nagpur,
Studio Guyz (Coimbatore),919562000461,Near 22 no fatak,Tamil Nadu,Coimbatore,
Jass Make Over (Kannapuram),919561651406,Panchwati colony Lalghati bhopal,Kerala,Kannapuram,
Hair Mechanic Family Salon (Chandigarh),919561308099,Pandri surana market,Punjab,Chandigarh,
A1 Beauty Parlour And Academy (Raipur),919560477200,Hill cart road,Chhattisgarh,Raipur,
Varnika Makeover (Coimbatore),919557889898,Faijullahganj,Tamil Nadu,Coimbatore,
Wisteria Salon (Bangalore),919557809786,Shubhash chowk,Karnataka,Bangalore,
Matrix Salon (Lucknow),919557343777,"Gate No.1, Numaish CaMadhya Pradesh, Saharanpur (Uttar Pradesh)",Uttar Pradesh,Lucknow,
Diva Salon (Diglipur),919557257607,Raiganj road ghantaghar,Andaman and Nicobar Islands,Diglipur,
(Jyoti Salon Moga ) (Kota),919557163591,Sec 8,Rajasthan,Kota,
Glam Garden Unisex Salon (Hapur),919556784052,D-54 opp tata power house,Uttar Pradesh,Hapur,
Erum (Noida),919555677754,Saddr,Uttar Pradesh,Noida,
Illuminate Salon (Chandigarh),919554091723,Cambridge road,Punjab,Chandigarh,
Kaizen Beauty Parlour (Delhi),919552653972,"28/1C, Chhayaneer Apartment, Flat GB, Gariahat Rd, Kankulia, Dhakuria, Kolkata, West Bengal 700029",Delhi,Delhi,
Apsara Beauty Salon (Faridkot),919552209495,"Shankarnagar,chaipati",Punjab,Faridkot,
Nature Touch (Noida),919552208313,Rarri mohalla,Uttar Pradesh,Noida,
Beauty Vioce Unisex Salon (Guwahati),919551851895,Thane,Assam,Guwahati,
Glamour Makeover Salon (Amritsar),919551117772,Lorance road opp lorance palaza,Punjab,Amritsar,
A Touch Of Class Unisex Salon (Gorakhpur),919548867352,Ratnada,Uttar Pradesh,Gorakhpur,
Cut N Style Unisex Salon (Lucknow),919548344798,N 1 soUTh extn 1,Uttar Pradesh,Lucknow,
Mink Makeuttar Pradesh Studio (Jodhpur),919545037684,"Canal Road , Deharadun (Uttarakhand)",Rajasthan,Jodhpur,
The Luxury Salon Kotkapura (Khatuli),919544763364,City,Uttar Pradesh,Khatuli,
Hair Resorts (Varanasi),919539121200,Sec 67 mohali,Uttar Pradesh,Varanasi,
Beauty Hub Salon (Nihal Singh Wala) (Muzaffarnagar),919538472488,"1st floor,32 Usha Niketan, Banglow Rd, Kamla Nagar,Delhi-110007
",Uttar Pradesh,Muzaffarnagar,
Genious Salon (Bakhtawarpur),919538246836,HSR layoUT,Delhi,Bakhtawarpur,
Monikas (Diglipur),919536900529,"Halwana Road, ChhUTmalpur (Uttar Pradesh)",Andaman and Nicobar Islands,Diglipur,
Like Me Salon (Chandigarh),919536300798,M 3 soUTh extn 2 new delhi,Punjab,Chandigarh,
Divine Salon (Modinagar),919535540565,Railway road,Uttar Pradesh,Modinagar,
Alisha (Ludhiana),919535078319,Sec 41,Punjab,Ludhiana,
Safe Touch (Jodhpur),919528666820,Sec 9,Rajasthan,Jodhpur,
Classy Lady Beauty Salon (Patti),919528420656,Old double story,Punjab,Patti,
Infinity Salon (Abu),919527379790,Rahmat nagar,Rajasthan,Abu,
Infinity Ladies Saloon (Nagpur),919527379790,"Madhya Pradesh Road, Old Sonari",Maharashtra,Nagpur,
Ak Salon (Lucknow),919526012555,Mayur vihar Ph 1,Uttar Pradesh,Lucknow,
Mikel Unisex Salon (Nagpur),919525558621,"I 38, Third Floor, Honor Homes Sector 89, Near Puri Aman Vilas,  Faridabad - 121002",Maharashtra,Nagpur,
Charu Beauty Parlour (MeerUT),919521467197,"Sithapudur , Gandhipuram",Uttar Pradesh,MeerUT,
Lavish Look Salon (Noida),919520278076,A-35  Near gopal Sweet Kamla Nagar,Uttar Pradesh,Noida,
Copper Scissors Unisex Salon (Bakhtawarpur),919519612132,Sec 67,Delhi,Bakhtawarpur,
Arki Salon (Other),919519144487,Teacher colony,Punjab,Other,
Dream Hair Unisex Salon (Varanasi),919515432007,Ranchi,Uttar Pradesh,Varanasi,
New Look (Nagpur),919511543366,Near Bus stand raikot,Maharashtra,Nagpur,
Doll House (Moga),919511330208,Ramdevi,Punjab,Moga,
M Cube (Hisar),919511015268,209 masjid moth soUTh extn 2,Haryana,Hisar,
Merlin Professional Hair & Skin Salon (Gorakhpur),919509089789,"C.T.M , Ahamdabad",Uttar Pradesh,Gorakhpur,
Cherry Make Over (Noida),919507983189,G 13 lajpat nagar,Uttar Pradesh,Noida,
Affinity Salon (Nagpur),919506467591,Babarpur Shahdara,Maharashtra,Nagpur,
New Hair Look Unisex Salon (Nagpur),919506016038,"Roadm Enclave, Deharadun (Uttarakhand)",Maharashtra,Nagpur,
Sahani Makeover (Muzaffarnagar),919503840360,Saharanpur dal Mandi pul,Uttar Pradesh,Muzaffarnagar,
Blue Angle (Thiruvananthapuram),919501587854,"Central road, silchar",Kerala,Thiruvananthapuram,
Bhavna Beauty Parlor (Kotkapura),919501340797,Tilak Nagar,Punjab,Kotkapura,
Prachi Beauty Parlour (Jodhpur),919501272000,"H. No. A-66, Sector- 51, Noida",Rajasthan,Jodhpur,
Alisha Beauty Parlour (Chandigarh),919501111433,Qudiyan chungi,Punjab,Chandigarh,
Beauty Touch (MeerUT),919497625736,Love kuch chonk,Uttar Pradesh,MeerUT,
Browns Salon (Coimbatore),919496711189,Radha Swami road 33 feet road jamalpur,Tamil Nadu,Coimbatore,
Deepali'S Salon (Mysore),919496705170,"Shop No 110 Jaipuria Plaza,, D-Block, Sector 26, Noida, Uttar Pradesh 201301",Karnataka,Mysore,
E3 Mens Salon (Nagpur),919496398572,"First Floor, Sec 21C, Huda Market, Faridabad",Maharashtra,Nagpur,
Mohini Makeover (Raipur),919490183000,Hira nagar,Chhattisgarh,Raipur,
Dhriyas Hair Studio (Taran tarn),919478809160,K 95 lajpat nagar 2,Punjab,Taran tarn,
Muhabath (Chandigarh),919464258324,Dugri phase 1,Punjab,Chandigarh,
Mbs Family Salon (Jodhpur),919464067332,"Court Road, Saharanpur (Uttar Pradesh)",Rajasthan,Jodhpur,
Antima Beauty Parlour (Dharomkot),919463449657,Dhamtari,Punjab,Dharomkot,
Flying Mua Salon (Noida),919460460439,In side Mani bazar,Uttar Pradesh,Noida,
Puja Beauty Parlour (Chandigarh),919459425687,"S Type Chowk, Adityapur",UT,Chandigarh,
Radhika Beauty Parlour (BOKARO),919457390207,Bhopal Ganj bhilwara,JHARKHAND,BOKARO,
Aboli Make Over (Achhnera),919455500966,Matigara,Uttar Pradesh,Achhnera,
Ca Makeuttar Pradesh Studio (Other),919455369197,Ulsoor,Andaman and Nicobar Islands,Other,
Anmol Salon (Chandigarh),919450461132,Ghaziabad,UT,Chandigarh,
Lucky Trading (Hisar),919449882544,Jhilmil East Delhi,Haryana,Hisar,
Archna Salon (Nagpur),919448647223,Sujro Road,Maharashtra,Nagpur,
Blossom Welcome Beauty Parlour (Raipur),919447413317,"49, Madhusudan Banerjee Rd, Punjabi Bagan, Birati, Kolkata, North Dumdum, West Bengal 700051",Chhattisgarh,Raipur,
Alka Makeover (Chandigarh),919447085607,Banaswadi,UT,Chandigarh,
Absalute Salon (Nagpur),919442793974,Salem,Maharashtra,Nagpur,
Ankitas   Salon (Chandigarh),919435780051,Gorakhpur road Deoria,UT,Chandigarh,
Moi Order Salon (Chandigarh),919431256979,kokapeth,UT,Chandigarh,
Bronze Salon (Jodhpur),919430410150,Basahi,Rajasthan,Jodhpur,
Jawed Habib Ratan Lal Nagar (Varanasi),919425230609,"SUttar PradeshREME TOWERS, Gadarpur, Sector 99, Noida, Uttar Pradesh 201303",Uttar Pradesh,Varanasi,
Loreal Glow Unisex Salon (Amritsar),919424547455,Faridabad,Punjab,Amritsar,
Eliza Make Over (Noida),919419984902,"S6 Second Floor, Commercial Centre, ATS ONE HAMLET, Sector 104",Uttar Pradesh,Noida,
Mj Color Trends (Other),919419191849,Maduravayal,Andaman and Nicobar Islands,Other,
Hey Kudi Salon (Jodhpur),919419140186,Mittal gareen,Rajasthan,Jodhpur,
Kushis (SoUTh Delhi),919419100371,Parbatiya,Delhi,SoUTh Delhi,
Ki&Ka Salon (Diglipur),919418347363,"Shop-207, Modi Mall, Town Centre, Sector 25A, Noida, Uttar Pradesh 201301",Andaman and Nicobar Islands,Diglipur,
A R Desire Unisex Salon (Zira),919418329786,Lahartara,Punjab,Zira,
Mbn Unisex Salon (Achhnera),919417777712,"D,63 63, Shanti Path Sector 7, Jawahar Nagar, Jaipur, Rajasthan 302004
",Uttar Pradesh,Achhnera,
Ahilya Beauty Parlour (Noida),919417291882,Btm layoUT,Uttar Pradesh,Noida,
Masco Slaon (Raipur),919415981511,Kamanahalli,Chhattisgarh,Raipur,
Spriya Sallon (Achankovil),919414741044,"Shop no-103, GULSHAN IKEBANA, street market, near Induslan bank, Sector 143, Noida, Uttar Pradesh 201306",Kerala,Achankovil,
Avoni Emadhya Pradeshorium (Jodhpur),919414672302,Pandeypur,Rajasthan,Jodhpur,
Kingz Quince Salon (Noida),919414143652,"16B, Raja Subodh Chandra Mallick Rd, E Block, Ajanta Park, Baghajatin Colony, Kolkata, West Bengal 700086",Uttar Pradesh,Noida,
Glamour Beauty Zone (Amritsar),919411007176,Baranga bbsr,Punjab,Amritsar,
Beauty Lounge (Kannadiparamba),919401149552,"M295+5R7, Breezy MakeUttar Pradesh Artistry, archroad, Arch road, Pollachi, Tamil Nadu 642001",Kerala,Kannadiparamba,
Beauty Garden (Amritsar),919400107127,Fazer Town,Punjab,Amritsar,
Kalki Unisex (Kanpur),919399272725,Macon,Uttar Pradesh,Kanpur,
1Mm Salon (Hapur),919389897642,"B-1032 janhagirpuri 
Shop no -8  
Delhi 33",Uttar Pradesh,Hapur,
Juhi Aura Unisex Studio (Raipur),919387353221,demo booked,Chhattisgarh,Raipur,
Bengal Beauty Parlour (Jodhpur),919380517069,Crystal chonk,Rajasthan,Jodhpur,
Exotica Beauty Parlour (Other),919374882260,Anjanapura main road,Andaman and Nicobar Islands,Other,
Health Zone (Jodhpur),919373915616,Varkkala,Rajasthan,Jodhpur,
Hair Care (Chandigarh),919373680858,"Dashrath Puri metro station 
Nearby Rajmandir ",UT,Chandigarh,
Lavendar Beauty Parlour (Nagpur),919373494888,"Sco 29,30 sec 22",Maharashtra,Nagpur,
Deepa Beauty Salon (Amritsar),919372967798,"Mani bazar, talwandi sabo",Punjab,Amritsar,
Ladies Salon (Raipur),919371734865,"Ghora wala chock , Faridkot",Chhattisgarh,Raipur,
Jakir Husain (Kharar),919371637387,Digawadhi,Punjab,Kharar,
Naina Salon (Noida),919371569128,Malad,Uttar Pradesh,Noida,
Ech Square Saloon (Achaljamu),919370699637,Kashmiri gally,Jharkhand,Achaljamu,
Allwin Salon (Amritsar),919370548949,Chb baba Randev mandir,Punjab,Amritsar,
Emadhya Pradeshire Salon (Amritsar),919369121405,Yadavgiri,Punjab,Amritsar,
Herbal Ambience (moradabad),919368498719,"Shop No-5, Aims Golf avenue 1, Sector 75, Noida, Uttar Pradesh 201306",Uttar Pradesh,moradabad,
Kalp Beauty Salon (Patti),919368150259,Gulab Nagar Hanuman Mandir ke pass,Punjab,Patti,
Classic Beauty Parlour & Classes (Jodhpur),919363283460,Patel nagar colony Gonda,Rajasthan,Jodhpur,
The Grooming Comadhya Pradeshany (Kota),919361191133,Sec 32,Rajasthan,Kota,
Bablas'S Salon (bagnan),919359338131,Sales tex office taramandal Gorakhpur,West Bengal,Bagnan,
Blush Beauty Salon (Udaipur),919358781514,Rajeev nagar,Rajasthan,Udaipur,
Shri Mahalakshmi Beauty Parlour (Agra),919356787262,Kamri road,Uttar Pradesh,Agra,
Shivani Salon (Kannapuram),919356787262,"Mane bazar, kotkapura",Kerala,Kannapuram,
Glam N Glitter Salon (Jaipur),919356351023,B 2 hosing society soUTh ext 1,Rajasthan,Jaipur,
Luca Piattelli (MeerUT),919355421875,Bohri chonk opp axis bank,Uttar Pradesh,MeerUT,
M 1 Salon (Bakhtawarpur),919354416105,Ghala mala chonk opp bala ji Mobile,Delhi,Bakhtawarpur,
Deepak Salon (Ambikapur),919350995615,AdaMadhya Pradeshur,Chhattisgarh,Ambikapur,
Dn Salon Faridkot (Rajkot),919344550603,Dev nagar,Gujrat,Rajkot,
Natural Beauty Parlour (Varanasi),919337575326,Bundu Ranchi,Uttar Pradesh,Varanasi,
Nandini Makeover (MeerUT),919336162318,"B block -1040 janhagirpuri 
Delhi 33 ",Uttar Pradesh,MeerUT,
Kritgya Makeuttar Pradesh (Bagha Purana),919335902547,HB road,Punjab,Bagha Purana,
Glow Studio Unisex Salon And Academy (Raipur),919335434785,Azamgarh Road,Chhattisgarh,Raipur,
Pearl Shalon (Ludhiana),919335353599,Sundarapuram,Punjab,Ludhiana,
Makeuttar Pradesh And Academy (Nagpur),919334770046,Poonch,Maharashtra,Nagpur,
Jayalaxmi (Mysore),919334560123,Medical square,Karnataka,Mysore,
Jodhana Beauty Point (Bangalore),919334235213,Shastri Nagar bhilwara,Karnataka,Bangalore,
Khushboo Beauty Parlour Kotkapura (Bangalore),919330914949,"Sec 137, Noida, Uttar Pradesh 201301",Karnataka,Bangalore,
Shiny Makeover Unisex Salon (Nagpur),919330374868,"Mane bazar, Faridkot",Maharashtra,Nagpur,
Anjali Makeuttar Pradesh Studio (Coimbatore),919326859685,Bit,Tamil Nadu,Coimbatore,
Kumar Salon (Gurdaspur),919326663555,"Swaroop Nagar road 100 fUTa 
Burari ",Punjab,Gurdaspur,
# Blound Unisex Salon (Ferozepore),919319013877,"Lalpur,marUTi heritage ,near colours mall.",Punjab,Ferozepore,
Glam & Glow Makeover (Chandigarh),919318306291,Narendra nagar,Punjab,Chandigarh,
Jawad Habib P Road (Lucknow),919315764032,"Sharda nagar , manewada",Uttar Pradesh,Lucknow,
Ishani Beauty Parlour (Bangalore),919314999300,"near Sea TV Office, MarUTi Estate, Manas Nagar, Pandav Nagar, Agra, Uttar Pradesh 282010",Karnataka,Bangalore,
Gaurikas Salon (Moga),919314763370,"Hospital road, silchar",Punjab,Moga,
Ishika S (Coimbatore),919312578610,Darama wala bazar sultanwind road,Tamil Nadu,Coimbatore,
Magmoon Salon (Jodhpur),919312181268,"Kalyanpur, Kanpur (Uttar Pradesh)",Rajasthan,Jodhpur,
Nirvana Unisex Salon (Amritsar),919311147395,Dwarka sector 19,Punjab,Amritsar,
Dolphine (Bangalore),919310802403,Mugalsaray,Karnataka,Bangalore,
Kamalaxmi Lbp (Lucknow),919310777651,Deepak nagar,Uttar Pradesh,Lucknow,
Sara Beauty Parlour (Other),919309547731,"Mani bazar, Nihal Singh wala",Andaman and Nicobar Islands,Other,
Primary (Bangalore),919308766193,"Shop No 104 basement, Shoprixx Mall, Block C, Sector 61",Karnataka,Bangalore,
Abid Salon (Noida),919307393260,Jai prakash nagar,Uttar Pradesh,Noida,
Suruma (Moradabad),919307221050,Ratu road,Uttar Pradesh,Moradabad,
Minakshi Makeuttar Pradesh Salon (Jodhpur),919306045955,Rehpura road izzatnagar Bareilly,Rajasthan,Jodhpur,
Hair Port Unisex Salon (Ludhiana),919303571566,salary ashok nagar kashiram,Punjab,Ludhiana,
Hair Lab Salon (Lucknow),919302541910,G 6 masjid moth soUTh extn,Uttar Pradesh,Lucknow,
Classic 2Unisex Salon (Jaisalmer),919302421157,Airport road,Rajasthan,Jaisalmer,
Creative Look Salon (Mumbai),919300911331,Fatehghar byepass,Maharashtra,Mumbai,
Curly Tails (New Delhi),919300911331,Sec 8 chandigarh,Delhi,New Delhi,
Nitu Beauty Parlour (Ludhiana),919284580252,Opp fatima college Villangudi road,Punjab,Ludhiana,
Clara Salon Firozepur (Modinagar),919266817451,"Dharomkot, Mane bazar",Uttar Pradesh,Modinagar,
Ashraf Salon (Moradabad),919266711535,Government college road,Uttar Pradesh,Moradabad,
Mannat Makeover (Gorakhpur),919266483703,"Civil lines, Roorkee (Uttarakhand)",Uttar Pradesh,Gorakhpur,
Awareness (Chandigarh),919264918357,Nazirpatty,Punjab,Chandigarh,
Apex Spa Ladies Salon (Pallikunnu),919259202050,Kanankpura road,Kerala,Pallikunnu,
Me And Guy (Kanpur),919258960465,"gurunanak colony, vijaywada",Uttar Pradesh,Kanpur,
Mirror And Me (Nagpur),919235589324,Jodhpur,Maharashtra,Nagpur,
Gauri Shankar (Nagpur),919235496577,Guru bazar,Maharashtra,Nagpur,
Mj (Ranchi),919234900735,Villivakkam,Jharkhand,Ranchi,
Geetanjali Salon (Nagpur),919219732210,Lalbagh,Maharashtra,Nagpur,
Classic Unisex Salon (Faridabad),919219448013,Arekere,Haryana,Faridabad,
The Head Masters Unisex Salon (Bangalore),919219102030,Khamla,Karnataka,Bangalore,
Ip Glits Makeover (Amritsar),919219027734,Krashi bhawan,Punjab,Amritsar,
Nancy Beauty Parlour (Kharar),919216877805,Malviya nagar,Punjab,Kharar,
Harmeet Makeover (Raipur),919215548445,Buss stand,Chhattisgarh,Raipur,
Dulhan Beauty Parlour (Gorakhpur),919209898908,civil lines,Uttar Pradesh,Gorakhpur,
Sofia (Ludhiana),919204209758,Namak mandi,Punjab,Ludhiana,
Hyper Salon (Noida),919172121466,"dimond point, near Delhi public school.",Uttar Pradesh,Noida,
