Distributor ID,Firm Name,Discount Category,Point of Sales,Type,DB Name,Territory,State,Email ID,Contact Person,Contact Number,Address,Sales Person,
B0D0S00098,Blend & Trend,E1,Glow Star,Super Stockiest,Blend & Trend (Siliguri),Siliguri,West Bengal,hr.radiantedu@gmail.com,Rahul Singh,7001963279,"Village Shiv Mandir Military Road.PO Kadamtala, PS-Matigara, Dist-Darjeeling. West Bengal-734433",Somnath Basu,East 1
B0D0S00099,SAHA ENTERPRISES,E1,Glow Star,Super Stockiest,SAHA ENTERPRISES (Howarh),Howarh,West Bengal,sahakiranchandra@gmail.com,KIRAN SAHA,8820580008,"4/1,CIRCULAR ROAD,4TH BYE LANE,SHIBPUR,  HOWRAH-711102",Somnath Basu,East 1
B0D0S00100,Jyoti Traders,E1,Shah Enterprises,Distributor,Jyoti Traders  (North Kolkata),North Kolkata,West Bengal,Jyotiriteshjaiswal353@gmail.com,Jyoti Jaiswal,9831650912,Maniktalla,Souvik Mitra,East 1
B0D0S00101,Samaira Enterprises,E1,Shah Enterprises,Distributor,Samaira Enterprises (Kharagpur),Kharagpur,West Bengal,mobinabdul95@gmail.com,Mobin,9679164962 / 9144331670,"526/371, Sonamukhi Johli Village, P.O - Kijli, Kharagpur, Paschim Medinipur, West Bengal, 721306",Souvik Mitra,East 1
B0D0S00102,Skininfinity Marketing,E1,Shah Enterprises,Distributor,Skininfinity Marketing (Kolkata),Kolkata,West Bengal,marketingskinfinity@gmail.com,Avik Mitra,7685033202/9836333063,"Orchad Estate Block No-15, Flat No-108.Netaji Nagar, Doharia, Kolkata-700129",Souvik Mitra,East 1
B0D0S00103,Rk Enterprises,E1,Shah Enterprises,Distributor,Rk Enterprises (Kolkata),Kolkata,West Bengal,babusona98debnath@gmail.com,Babusona Debnath,8617760787,"154/2/73,Netaji Subhas Chandra Bose Road, Kolkata-700040",Souvik Mitra,East 1
B0D0S00104,Niaa Beauty Private Ltd,E1,Shah Enterprises,Distributor,Niaa Beauty Private Ltd (Kolkata),Kolkata,West Bengal,niaabeautypvtltd@gmail.com,Nitish Singh,9831123763,"UV-39-03D,1050/1,Survey Park, Kolkata-700075",Sujoy Chakraborty,East 1
B0D0S00105,Sandhya Agency,E1,Shah Enterprises,Distributor,Sandhya Agency (Midnapur ),Midnapur,West Bengal,Chinmoy.mamma1994@gmail.com,Chinmoy Manna,7001230694,"Dakshin Rampur, Contai, East Medinipur, West Bengal, - 721401",Somnath Basu,East 1
B0D0S00106,ANGEL ENTERPRISE,E1,Shah Enterprises,Distributor,ANGEL ENTERPRISE (Birbhum),Birbhum,West Bengal,barsharoypihu@gmail.com,,8637372198,"Railpar Gadai Para, Rampurhat, Birbhum, West Bengal, 731224",Somnath Basu,East 1
B0D0S00107,Dey Enterprises,E1,Shah Enterprises,Distributor,Dey Enterprises (Howarh),Howarh,West Bengal,dey.supriyo.1978@gmail.com,ALPANA DEY,8100854962,"110/7, SWAMI VIVEKANANDA ROAD, HOWRAH, West Bengal, 711101",Somnath Basu,East 1
B0D0S00108,Garg Sales Corporation,E1,Biolume,Distributor,Garg Sales Corporation (Faridabad),Faridabad,Delhi NCR,gargs.corp@gmail.com,Mr. Garg,9811479724,"FF-D905, Chawla Colony, Ballabgarh, Faridabad - 121004",Asha,North
B0D0S00109,Khushi Enterprises,E1,Biolume,Distributor,Khushi Enterprises (Noida),Noida,Delhi NCR,,Rakesh Verma,9810197647,"BUILDING NO. 24, BLOCK -D, BLOCK- D, SECTOR -22, Gautambuddha Nagar, Uttar Pradesh, 201301",Pradeep Sharma / Moin,North
B0D0S00110,RPG Agency,E1,Rakta Traders,Distributor,RPG Agency (Agartala),Agartala,Tripura,rpg.agency2020@gmail.com,Priti Das,6383571917,"Lankamura,Bin Para,Usha Bazar, Airport Road, Lankamura,Bin Para, Agartala, West Tripura, Tripura, 799009",Goutam Bin,East 2
B0D0S00111,Kunthavai Enterprises,E1,Hareesh Enterprses,Distributor,Kunthavai Enterprises  (Madurai),Madurai,Tamilnadu,kunthavaienterprises@yahoo.com,Selvakumar,7010148043,1st floor. 2/65-B. Chennapatti. Village  Kancharam pettai. Madurai. 625014,Kanhaiya,South 2
B0D0S00112,Reni Agencies,E1,Hareesh Enterprses,Distributor,Reni Agencies  (Tirunelveli),Tirunelveli,Tamilnadu,renitraders3@gmail.com,Tikto,9944712733,No.72  Gayathiri Nagar Reddiarpatti. Tirunelveli. 627007,Kanhaiya,South 2
B0D0S00113,Mayra Enterprises,E1,RS Agency,Distributor,Mayra Enterprises (Jodhpur),Jodhpur,Rajasthan,aahil2485@gmail.com,Nasim,9461145595,shop no. 9 Basement  Amandeep complex sardar Pura B Road Jodhpur - 342003,Jayshree,Rajasthan
B0D0S00114,BNS Enterprises,E1,Glow Star,Distributor,BNS Enterprises (South Delhi),South Delhi,Delhi NCR,,Neha Saini,9354558942,"336 E, Hari Nagarm Ashram, New Delhi - 110014",Moin Khan,North
B0D0S00115,Shanti Enterprises,E1,Glow Star,Distributor,Shanti Enterprises (Gorakhpur/Deoria/Basti),Gorakhpur/Deoria/Basti,UP East,enterpriseshanti09@gmail.com,,9450191490,"Near Baba Raghvendra Das ITI College, Tatamandal Gorakhpur - 273008",Vacant,North
B0D0S00116,Rainbow Cosmetics,E1,Hill Valley,Distributor,Rainbow Cosmetics (Pune),Pune,Maharashtra,rainbowcosmeticspune@gmail.com,Abhishek,8551082424,"S. No. 64/2A/23, Ground Floor, Hagawane Wasti, Pune City, Pune - 411048",Ashwini,ROM
B0D0S00117,BHAGABATI STORES,E1,Kauneus Marketing LLP,Distributor,BHAGABATI STORES  (Silchar ),Silchar,Assam,ramanuj.tanuj@gmail.com,Ramanuj Shah,9401149552,"NAZIRPATTY, SILCHAR, Bhagabati Stores, Nazirpatty, Silchar, Cachar, Assam, 788001",Goutam Bin,East 3
B0D0S00118,Koyel,E1,Shah Enterprises,Distributor,Koyel (Durgapur),Durgapur,West Bengal,prsnjtkar4@gmail.com,Prasanjeet Kaur,9126504918,"5/14, Sreenagar Pally, Benachity, Durgapur - 713213",Suparna Adhikari,East 1
B0D0S00119,A K Agency,E1,RS Agency,Distributor,A K Agency (Bundi),Bundi,Rajasthan,wa8568000@gmail.com,wasim,8239292121,"Opp. OBC Bank, Lanka Gate, Bundi, Bundi, Rajasthan, 323001",Kiran,Rajasthan
B0D0S00120,Diva Enterprises,E1,RS Agency,Distributor,Diva Enterprises (Kota),Kota,Rajasthan,hunknitish2708@gmail.com,Nitish Arora,9540156163,54B Shankar lal pratihar Main Road shreenath puram kota,Kiran,Rajasthan
B0D0S00121,Rama Agency,E1,RS Agency,Distributor,Rama Agency (Udaipur),Udaipur,Rajasthan,ramaagencies07@gmail.com,Gaurav,7738494322,"DI 13, H.I.G. COLONY, Hiran Magri SEC-5, near Sanskar public school, Udaipur, Udaipur, Rajasthan, 313001",Laxman,Rajasthan
B0D0S00122,Mohinder Pal & Sons,E1,Glow Star,Super Stockiest,Mohinder Pal & Sons (Amritsar),Amritsar,Punjab,rahilmarwaha85@gmail.com,Rahil,9914898989,"37-A, Basement Floor Urban Circle no.10, Nai Sarak Lawrence Road, Amritsar - 143001",Sandeep Kaur,North
B0D0S00123,Impression,E1,Mohinder Pal & Sons,Distributor,Impression (Jalandhar),Jalandhar,Punjab,,,,,Sandeep Kaur,North
B0D0S00124,S. R International,E1,Hill Valley,Distributor,S. R International (Thane),Thane,Maharashtra,srinternationl202@gmail.com,Sikandar,7905784987,"Shop no 12, Sai Sumangl  chs plot no -3 Lokmany nagar Thane west -400606",Sangita,Mumbai
B0D0S00125,Kolours Trading Agency,E1,RS Agency,Distributor,Kolours Trading Agency (Ajmer),Ajmer,Rajasthan,ashoktt2000@yahoo.com,Ashok,8849812565,"B-22, SWASTIK NAGAR,FOY SAGAR ROAD, BORAJ, AJMER, Rajasthan, 305001",Jayshree,Rajasthan
B0D0S00126,Aembian Traders,E1,Mohinder Pal & Sons,Distributor,Aembian Traders (Ludhiana),Ludhiana,Punjab,navibains485@gmail.com,Navpreet singh,7589394611,"First Flor ,206 New Model Town Ludhiana Near Kocher Market Chownk 141001",Soniya Mehta,North
B0D0S00127,Ankita Enterprises,E1,Mohinder Pal & Sons,Distributor,Ankita Enterprises (Patiala),Patiala,Punjab,,,,,Soniya Mehta,North
B0D0S00128,Balaji Agency,E1,Gagan Savi,Distributor,Balaji Agency (Bangalore ),Bangalore,Karnataka,,,9982107690,"1ST FLOOR,, NO. 144, F-42, PURVI PLAZA, BHSYAM ROAD, COTTONPET MAIN ROAD, BANGALORE, Bengaluru Rural, Karnataka, 560053",Anitha Jackline,South 1
B0D0S00127,Jinday Agency (Ghaziabad),E1,Jinday,Distributor,Jinday Agency (Ghaziabad),Ghaziabad,Uttar Pradesh,,,,,Prashant,North
